#Data tag : 24v2 , Norm tag: composite
#+--------------+-------------------+------+------+----------------+---------------+
#  run:fill       time                nls    ncms   delivered(/fb)   recorded(/fb)  
#+--------------+-------------------+------+------+----------------+---------------+
  395342:10904   08/01/25 22:56:07   221    221    0.050590449      0.048067485    
  395345:10905   08/02/25 02:19:25   2035   2035   0.947350673      0.897412342    
  395358:10906   08/02/25 18:02:56   419    419    0.207715107      0.198055352    
  395366:10907   08/02/25 22:55:25   216    216    0.095714646      0.089664890    
  395368:10907   08/03/25 00:25:39   259    259    0.129969347      0.121017135    
  395369:10907   08/03/25 02:10:21   460    460    0.230098856      0.212302615    
  395371:10907   08/03/25 06:36:42   418    418    0.198644706      0.183772124    
  395372:10907   08/03/25 09:21:52   3      3      0.001363427      0.000252315    
  395373:10907   08/03/25 09:25:42   552    552    0.203143540      0.194043149    
  395392:10908   08/03/25 15:09:43   1960   1960   0.929042058      0.878379103    
  395424:10911   08/04/25 14:31:14   53     53     0.014975596      0.012526627    
  395425:10911   08/04/25 14:54:53   7      7      0.003461650      0.001629398    
  395426:10911   08/04/25 15:00:40   12     12     0.005951141      0.003129609    
#  395428:10911   08/04/25 15:17:29   1      1      0.000497854      0              
#  395430:10911   08/04/25 15:27:43   1      1      0.000496399      0              
  395431:10911   08/04/25 15:32:47   88     88     0.044088482      0.041268128    
  395444:10913   08/04/25 18:56:55   913    913    0.455802587      0.430264062    
  395445:10913   08/05/25 00:56:34   1296   1296   0.562803875      0.535378312    
  395465:10915   08/05/25 11:52:19   205    205    0.089741993      0.084300802    
  395497:10919   08/05/25 19:29:26   444    444    0.210241597      0.198540288    
  395505:10920   08/06/25 03:36:57   600    600    0.291307229      0.268486480    
  395507:10920   08/06/25 07:37:00   656    656    0.322270496      0.300898871    
  395517:10921   08/06/25 17:14:28   729    729    0.352083703      0.330985356    
  395521:10921   08/07/25 00:02:18   51     51     0.025139090      0.021214552    
  395523:10921   08/07/25 00:48:31   24     24     0.012041899      0.011048177    
  395524:10921   08/07/25 01:26:38   485    485    0.233105784      0.218593540    
  395525:10921   08/07/25 04:38:24   222    222    0.085555373      0.081475986    
  395549:10922   08/07/25 09:25:39   166    165    0.080926392      0.072723102    
  395550:10922   08/07/25 10:31:16   66     66     0.033313114      0.029356217    
  395551:10922   08/07/25 11:00:08   66     66     0.033376623      0.027924538    
  395552:10922   08/07/25 11:28:47   71     71     0.035803762      0.032410673    
  395601:10926   08/08/25 11:05:01   14     14     0.005397894      0.003657814    
  395602:10926   08/08/25 11:13:33   36     36     0.014197342      0.011558631    
  395603:10926   08/08/25 11:31:36   33     33     0.016600434      0.014143805    
  395606:10926   08/08/25 12:00:47   469    469    0.236749287      0.218865749    
  395607:10926   08/08/25 15:08:06   235    235    0.118624646      0.110887574    
  395608:10926   08/08/25 16:49:05   445    445    0.223867639      0.207100777    
  395616:10927   08/08/25 21:43:50   180    180    0.075237674      0.070122552    
  395622:10928   08/09/25 01:14:45   81     81     0.037177576      0.034529618    
  395639:10931   08/09/25 20:44:18   337    337    0.155026334      0.143284991    
  395641:10931   08/09/25 23:03:59   630    630    0.316058199      0.293976212    
  395648:10932   08/10/25 05:23:36   263    263    0.127052399      0.112992063    
  395649:10932   08/10/25 07:08:58   1114   1114   0.556133114      0.516703726    
  395650:10932   08/10/25 14:25:07   678    678    0.267775979      0.250982323    
  395670:10935   08/10/25 22:27:05   715    715    0.341229133      0.316655816    
  395729:10938   08/11/25 19:49:47   1304   1304   0.626594259      0.583015843    
  395730:10938   08/12/25 04:19:30   413    413    0.143578008      0.135880278    
  395747:10939   08/12/25 09:23:34   581    581    0.280700334      0.265303515    
  395748:10939   08/12/25 13:12:34   70     70     0.035358304      0.033241153    
  395749:10939   08/12/25 13:43:12   664    664    0.335880413      0.309700459    
  395750:10939   08/12/25 18:04:06   792    792    0.340576248      0.321243771    
  395758:10940   08/13/25 01:41:48   127    127    0.061330478      0.053887506    
  395759:10940   08/13/25 02:34:56   457    457    0.231154299      0.216246332    
  395760:10940   08/13/25 05:49:22   1281   1281   0.605901858      0.569455271    
  395761:10940   08/13/25 14:10:52   5      5      0.001863939      0.000087245    
  395762:10940   08/13/25 14:14:07   1345   1345   0.343615513      0.332279937    
  395773:10943   08/14/25 08:22:30   618    618    0.297306909      0.280236869    
  395801:10945   08/14/25 16:27:41   36     36     0.011174063      0.008593677    
  395802:10945   08/14/25 16:44:03   7      7      0.002939043      0.002693635    
  395810:10946   08/14/25 18:40:42   2      2      0.000796774      0.000384945    
  395817:10948   08/15/25 01:48:37   684    684    0.341219882      0.320028788    
  395876:10950   08/15/25 13:57:11   128    128    0.060777918      0.056455638    
  395893:10952   08/15/25 18:44:18   1491   1491   0.749497158      0.681539572    
  395894:10952   08/16/25 04:27:06   69     69     0.032921457      0.023634992    
  395896:10952   08/16/25 05:18:52   6      6      0.002823171      0.000153278    
  395897:10952   08/16/25 05:46:23   42     42     0.019099892      0.016195582    
